ID;Person_Id;Movie_Id;Evaluation
1;1;1;NULL
2;1;2;4
3;1;3;NULL
4;1;4;NULL
5;1;5;NULL
6;1;6;NULL
7;1;7;NULL
8;1;8;NULL
9;1;9;NULL
10;1;10;NULL
11;1;11;NULL
12;1;12;NULL
13;1;13;NULL
14;1;14;NULL
15;1;15;NULL
16;1;16;NULL
17;1;17;NULL
18;1;18;5
19;1;19;NULL
20;1;20;5
21;1;21;NULL
22;1;22;NULL
23;1;23;NULL
24;1;24;NULL
25;1;25;4
26;1;26;4
27;1;27;NULL
28;1;28;NULL
29;1;29;NULL
30;1;30;4
31;1;31;NULL
32;1;32;NULL
33;1;33;NULL
34;1;34;NULL
35;1;35;5
36;1;36;4
37;1;37;5
38;1;38;NULL
39;1;39;NULL
40;1;40;NULL
41;1;41;NULL
42;1;42;NULL
43;1;43;NULL
44;1;44;NULL
45;1;45;NULL
46;1;46;NULL
47;1;47;5
48;1;48;5
49;1;49;5
50;1;50;5
51;1;51;NULL
52;1;52;4
53;1;53;NULL
54;1;54;NULL
55;1;55;NULL
56;1;56;NULL
57;1;57;NULL
58;1;58;NULL
59;1;59;NULL
60;1;60;NULL
61;1;61;NULL
62;1;62;NULL
63;1;63;5
64;1;64;NULL
65;1;65;NULL
66;1;66;NULL
67;1;67;5
68;1;68;3
69;1;69;NULL
70;1;70;NULL
71;1;71;NULL
72;1;72;4
73;1;73;NULL
74;1;74;NULL
75;1;75;NULL
76;1;76;NULL
77;1;77;4
78;1;78;NULL
79;1;79;5
80;1;80;NULL
81;1;81;NULL
82;1;82;3
83;1;83;NULL
84;1;84;NULL
85;1;85;NULL
86;1;86;4
87;1;87;NULL
88;1;88;NULL
89;1;89;NULL
90;1;90;NULL
91;1;91;5
92;1;92;NULL
93;1;93;NULL
94;1;94;NULL
95;1;95;NULL
96;1;96;NULL
97;1;97;NULL
98;1;98;NULL
99;1;99;NULL
100;1;100;NULL
101;1;101;NULL
102;1;102;NULL
103;1;103;NULL
104;1;104;NULL
105;1;105;NULL
106;1;106;NULL
107;1;107;NULL
108;1;108;5
109;1;109;NULL
110;1;110;NULL
111;1;111;4
112;1;112;NULL
113;1;113;NULL
114;1;114;NULL
115;1;115;NULL
116;1;116;4
117;1;117;NULL
118;1;118;NULL
119;1;119;4
120;1;120;NULL
121;1;121;4
122;1;122;NULL
123;1;123;NULL
124;1;124;NULL
125;1;125;5
126;1;126;NULL
127;1;127;NULL
128;1;128;3
129;1;129;NULL
130;1;130;4
131;1;131;NULL
132;1;132;NULL
133;1;133;4
134;1;134;NULL
135;1;135;NULL
136;1;136;NULL
137;1;137;4
138;1;138;4
139;1;139;NULL
140;1;140;NULL
141;1;141;NULL
142;1;142;NULL
143;1;143;4
144;1;144;NULL
145;1;145;NULL
146;1;146;4
147;1;147;NULL
148;1;148;NULL
149;1;149;NULL
150;1;150;5
151;1;151;NULL
152;1;152;5
153;1;153;NULL
154;1;154;NULL
155;1;155;NULL
156;1;156;NULL
157;1;157;NULL
158;1;158;5
159;1;159;NULL
160;1;160;NULL
161;1;161;NULL
162;1;162;2
163;1;163;NULL
164;1;164;4
165;1;165;2
166;1;166;NULL
167;1;167;NULL
168;1;168;NULL
169;1;169;NULL
170;1;170;4
171;1;171;5
172;1;172;NULL
173;1;173;NULL
174;1;174;NULL
175;1;175;5
176;1;176;NULL
177;1;177;NULL
178;1;178;4
179;1;179;NULL
180;1;180;NULL
181;1;181;NULL
182;1;182;NULL
183;1;183;4
184;1;184;NULL
185;1;185;4
186;1;186;NULL
187;1;187;NULL
188;1;188;NULL
189;1;189;5
190;1;190;5
191;1;191;NULL
192;1;192;NULL
193;1;193;4
194;1;194;NULL
195;1;195;NULL
196;1;196;NULL
197;1;197;NULL
198;1;198;4
199;1;199;NULL
200;1;200;NULL
201;2;1;NULL
202;2;2;NULL
203;2;3;NULL
204;2;4;4
205;2;5;4
206;2;6;NULL
207;2;7;4
208;2;8;NULL
209;2;9;NULL
210;2;10;NULL
211;2;11;5
212;2;12;5
213;2;13;NULL
214;2;14;NULL
215;2;15;4
216;2;16;4
217;2;17;NULL
218;2;18;NULL
219;2;19;NULL
220;2;20;4
221;2;21;NULL
222;2;22;NULL
223;2;23;NULL
224;2;24;NULL
225;2;25;4
226;2;26;5
227;2;27;NULL
228;2;28;NULL
229;2;29;NULL
230;2;30;NULL
231;2;31;NULL
232;2;32;NULL
233;2;33;NULL
234;2;34;NULL
235;2;35;NULL
236;2;36;5
237;2;37;5
238;2;38;NULL
239;2;39;5
240;2;40;NULL
241;2;41;NULL
242;2;42;NULL
243;2;43;NULL
244;2;44;NULL
245;2;45;1
246;2;46;NULL
247;2;47;5
248;2;48;NULL
249;2;49;5
250;2;50;4
251;2;51;NULL
252;2;52;5
253;2;53;NULL
254;2;54;4
255;2;55;5
256;2;56;5
257;2;57;NULL
258;2;58;NULL
259;2;59;NULL
260;2;60;NULL
261;2;61;NULL
262;2;62;NULL
263;2;63;NULL
264;2;64;NULL
265;2;65;NULL
266;2;66;NULL
267;2;67;5
268;2;68;NULL
269;2;69;NULL
270;2;70;5
271;2;71;NULL
272;2;72;2
273;2;73;NULL
274;2;74;3
275;2;75;NULL
276;2;76;NULL
277;2;77;2
278;2;78;NULL
279;2;79;4
280;2;80;NULL
281;2;81;NULL
282;2;82;NULL
283;2;83;NULL
284;2;84;NULL
285;2;85;NULL
286;2;86;NULL
287;2;87;NULL
288;2;88;NULL
289;2;89;NULL
290;2;90;NULL
291;2;91;2
292;2;92;3
293;2;93;3
294;2;94;NULL
295;2;95;NULL
296;2;96;NULL
297;2;97;NULL
298;2;98;NULL
299;2;99;NULL
300;2;100;NULL
301;2;101;NULL
302;2;102;NULL
303;2;103;4
304;2;104;NULL
305;2;105;NULL
306;2;106;NULL
307;2;107;NULL
308;2;108;NULL
309;2;109;NULL
310;2;110;NULL
311;2;111;5
312;2;112;NULL
313;2;113;NULL
314;2;114;NULL
315;2;115;NULL
316;2;116;NULL
317;2;117;NULL
318;2;118;NULL
319;2;119;3
320;2;120;5
321;2;121;4
322;2;122;NULL
323;2;123;NULL
324;2;124;NULL
325;2;125;5
326;2;126;5
327;2;127;NULL
328;2;128;5
329;2;129;3
330;2;130;NULL
331;2;131;NULL
332;2;132;NULL
333;2;133;1
334;2;134;4
335;2;135;NULL
336;2;136;NULL
337;2;137;NULL
